concepts,country,semantic_field,language
concept,country,category,language
huangjiu,china,beverages,chinese
tsingtao,china,beverages,chinese
changyu,china,beverages,chinese
pútáojiǔ,china,beverages,chinese
choujiu,china,beverages,chinese
mijiu,china,beverages,chinese
moutai,china,beverages,chinese
erguotou,china,beverages,chinese
jiǔ,china,beverages,chinese
shaojiu,china,beverages,chinese
jiu,china,beverages,chinese
píjiǔ,china,beverages,chinese
竹蔗茅根水,china,beverages,chinese
酸梅汤,china,beverages,chinese
杏皮水,china,beverages,chinese
豆浆,china,beverages,chinese
jiuquan,china,beverages,chinese
lurongjiu,china,beverages,chinese
méijiǔ,china,beverages,chinese
shāojiǔ,china,beverages,chinese
shaokang,china,beverages,chinese
liaojiu,china,beverages,chinese
dòujiāng,china,beverages,chinese
mǐjiǔ,china,beverages,chinese
酿酒,china,beverages,chinese
lìzhījiǔ,china,beverages,chinese
jiukuang,china,beverages,chinese
hsiaohsing,china,beverages,chinese
shaohsing,china,beverages,chinese
shaoshing,china,beverages,chinese
zhúyèqīnqjiǔ,china,beverages,chinese
túwēijiǔ,china,beverages,chinese
chajiu,china,beverages,chinese
gǔjǐinggongjiu,china,beverages,chinese
huailai,china,beverages,chinese
zui,china,beverages,chinese
青稞酒,china,beverages,chinese
xifengjiu,china,beverages,chinese
wuliangye,china,beverages,chinese
guizhou maotai,china,beverages,chinese
bilochun,china,beverages,chinese
panhu,china,beverages,chinese
angciu,china,beverages,chinese
jianzongshui,china,beverages,chinese
lushui,china,beverages,chinese
fótiàoqiáng,china,beverages,chinese
hóngdòushā,china,beverages,chinese
tángshuǐ,china,beverages,chinese
xushui,china,beverages,chinese
chí,china,beverages,chinese
ningxia,china,beverages,chinese
陈露,china,beverages,chinese
jingmai,china,beverages,chinese
gaoliang,china,beverages,chinese
hēilún,china,beverages,chinese
meizijiang,china,beverages,chinese
meijiang,china,beverages,chinese
xiàshui,china,beverages,chinese
zhentea,china,beverages,chinese
jú,china,beverages,chinese
fenjiu,china,beverages,chinese
cháwū,china,beverages,chinese
tea,china,beverages,chinese
xueya,china,beverages,chinese
baijiu,china,beverages,chinese
táng,china,beverages,chinese
baishu,china,beverages,chinese
chayiguan,china,beverages,chinese
維也納 (vienna coffee),china,beverages,chinese
dadihu,china,beverages,chinese
mǎgǔhú,china,beverages,chinese
sìhú,china,beverages,chinese
椰胡,china,beverages,chinese
qingjing,china,beverages,chinese
xidaotang,china,beverages,chinese
